# dataset: MUTAG
# max_tree_size: 6
# hdim: 8
# epoch: 10
# lr: 0.003
# wd: 0.0001
# bs: 32
epoch,batch,batch_loss,train_accuracy,val_accuracy,fold
0,0,0.7192872762680054,0.09523809523809523,0.65,1
0,1,0.7293854355812073,0.16071428571428573,0.65,1
0,2,0.7200165390968323,0.25595238095238093,0.65,1
0,3,0.725610613822937,0.32142857142857145,0.65,1
0,4,0.6640883684158325,0.44642857142857145,0.75,1
0,5,0.6408894062042236,0.47023809523809523,0.75,1
1,0,0.6148291826248169,0.10119047619047619,0.8,1
1,1,0.6246872544288635,0.17857142857142858,0.9,1
1,2,0.6063350439071655,0.2857142857142857,0.9,1
1,3,0.6502190828323364,0.3630952380952381,0.9,1
1,4,0.5964699387550354,0.4880952380952381,0.9,1
1,5,0.5221505165100098,0.5178571428571429,0.9,1
2,0,0.5509703159332275,0.10119047619047619,0.9,1
2,1,0.5537923574447632,0.23214285714285715,0.95,1
2,2,0.5266101360321045,0.34523809523809523,1.0,1
2,3,0.6062891483306885,0.4880952380952381,1.0,1
2,4,0.5559742450714111,0.625,0.95,1
2,5,0.44177553057670593,0.6726190476190477,0.95,1
3,0,0.5063720941543579,0.13690476190476192,0.95,1
3,1,0.5049603581428528,0.2976190476190476,0.95,1
3,2,0.4715655446052551,0.44047619047619047,0.95,1
3,3,0.5842121243476868,0.5833333333333334,0.95,1
3,4,0.5340231657028198,0.7202380952380952,0.95,1
3,5,0.3907942771911621,0.7678571428571429,0.95,1
4,0,0.4789121448993683,0.125,0.95,1
4,1,0.47346246242523193,0.27976190476190477,0.95,1
4,2,0.4361949861049652,0.4226190476190476,0.95,1
4,3,0.5729340314865112,0.5654761904761905,0.95,1
4,4,0.5229635834693909,0.7023809523809523,0.95,1
4,5,0.35517174005508423,0.75,0.95,1
5,0,0.46161627769470215,0.125,0.95,1
5,1,0.44972163438796997,0.27976190476190477,0.95,1
5,2,0.4139597713947296,0.4226190476190476,0.95,1
5,3,0.5664995908737183,0.5654761904761905,0.95,1
5,4,0.5173010230064392,0.6964285714285714,0.95,1
5,5,0.33010292053222656,0.7440476190476191,0.95,1
6,0,0.44998472929000854,0.125,0.95,1
6,1,0.43225499987602234,0.2857142857142857,0.95,1
6,2,0.40010857582092285,0.42857142857142855,0.95,1
6,3,0.5610916614532471,0.5714285714285714,0.95,1
6,4,0.5136803984642029,0.7083333333333334,0.95,1
6,5,0.3112083673477173,0.75,0.95,1
7,0,0.44137880206108093,0.125,0.95,1
7,1,0.41890403628349304,0.2857142857142857,0.95,1
7,2,0.3910910487174988,0.42857142857142855,0.95,1
7,3,0.5552176237106323,0.5714285714285714,0.95,1
7,4,0.5109624862670898,0.7083333333333334,0.95,1
7,5,0.2966395914554596,0.75,0.95,1
8,0,0.43508607149124146,0.125,0.95,1
8,1,0.4087812006473541,0.2857142857142857,0.95,1
8,2,0.38559022545814514,0.42857142857142855,0.95,1
8,3,0.5484117865562439,0.5714285714285714,0.95,1
8,4,0.5078369975090027,0.7142857142857143,0.95,1
8,5,0.28550803661346436,0.7559523809523809,0.95,1
9,0,0.4301379323005676,0.125,0.95,1
9,1,0.4010928273200989,0.2857142857142857,0.95,1
9,2,0.38231754302978516,0.42857142857142855,0.95,1
9,3,0.541130542755127,0.5714285714285714,0.95,1
9,4,0.5046611428260803,0.7142857142857143,0.95,1
9,5,0.27764981985092163,0.7559523809523809,0.95,1
0,0,0.6011455655097961,0.16071428571428573,0.65,2
0,1,0.6083068251609802,0.30952380952380953,0.65,2
0,2,0.5571991801261902,0.47023809523809523,0.65,2
0,3,0.5787084698677063,0.625,0.65,2
0,4,0.6071811318397522,0.7619047619047619,0.65,2
0,5,0.4942290186882019,0.8035714285714286,0.65,2
1,0,0.5440608859062195,0.16071428571428573,0.65,2
1,1,0.5449947118759155,0.32142857142857145,0.6,2
1,2,0.5022627115249634,0.47023809523809523,0.6,2
1,3,0.532523512840271,0.625,0.6,2
1,4,0.5662679672241211,0.7678571428571429,0.7,2
1,5,0.4224560260772705,0.8095238095238095,0.7,2
2,0,0.5035558938980103,0.16071428571428573,0.8,2
2,1,0.497365266084671,0.32142857142857145,0.8,2
2,2,0.4590039849281311,0.47023809523809523,0.8,2
2,3,0.49860867857933044,0.6130952380952381,0.85,2
2,4,0.5374823808670044,0.7559523809523809,0.95,2
2,5,0.3612140417098999,0.7976190476190477,0.95,2
3,0,0.47164592146873474,0.16666666666666666,0.95,2
3,1,0.45899438858032227,0.3333333333333333,0.95,2
3,2,0.42626070976257324,0.48214285714285715,0.95,2
3,3,0.4773774743080139,0.625,0.95,2
3,4,0.5197440981864929,0.7678571428571429,0.95,2
3,5,0.31835243105888367,0.8095238095238095,0.95,2
4,0,0.4478689432144165,0.16071428571428573,0.95,2
4,1,0.42948129773139954,0.3273809523809524,0.95,2
4,2,0.4030734598636627,0.47619047619047616,0.95,2
4,3,0.4683040380477905,0.6190476190476191,0.95,2
4,4,0.5085381865501404,0.7559523809523809,0.95,2
4,5,0.2908926010131836,0.7976190476190477,0.95,2
5,0,0.4297942817211151,0.16071428571428573,0.95,2
5,1,0.40851590037345886,0.3273809523809524,0.95,2
5,2,0.38711705803871155,0.47619047619047616,0.95,2
5,3,0.46698883175849915,0.625,0.95,2
5,4,0.5010085701942444,0.7619047619047619,0.95,2
5,5,0.2754642367362976,0.8035714285714286,0.95,2
6,0,0.4153324365615845,0.16666666666666666,0.95,2
6,1,0.3937467932701111,0.3333333333333333,0.95,2
6,2,0.37594935297966003,0.48214285714285715,0.95,2
6,3,0.46905994415283203,0.6309523809523809,0.95,2
6,4,0.49524053931236267,0.7678571428571429,0.95,2
6,5,0.2689080834388733,0.8095238095238095,0.95,2
7,0,0.40337860584259033,0.16666666666666666,0.95,2
7,1,0.3832454979419708,0.3333333333333333,0.95,2
7,2,0.36757421493530273,0.48214285714285715,0.95,2
7,3,0.4714520275592804,0.6309523809523809,0.95,2
7,4,0.49004605412483215,0.7678571428571429,0.95,2
